Posted Date,Reference Number,Payee,Address,Amount
02/10/2025,24013395040001800652231,"365 MARKET M 888 432 3299TROY MI","TROY          MI ",-1.89
02/10/2025,24116415040238029347845,"CTLP*Vista Vending AUBURN WA","AUBURN        WA ",-3.40
02/10/2025,24116415040238029347803,"CTLP*Vista Vending AUBURN WA","AUBURN        WA ",-3.15
02/10/2025,24013395039001600001483,"82173 - SEA27 DAWSON SEA2SEATTLE WA","SEATTLE       WA ",-17.48
02/10/2025,24137465039100402663540,"TST* BON REDMOND WA","REDMOND       WA ",-91.84
02/08/2025,24765015039237213760875,"HMART - REDMOND REDMOND WA","REDMOND       WA ",-48.14
02/08/2025,24765015039237213760693,"HMART - REDMOND REDMOND WA","REDMOND       WA ",-17.61
02/08/2025,24116415039237027646763,"CTLP*Vista Vending AUBURN WA","AUBURN        WA ",-3.40
02/08/2025,24116415039237027646623,"CTLP*Vista Vending AUBURN WA","AUBURN        WA ",-2.15
02/08/2025,24116415039237027646490,"CTLP*Vista Vending AUBURN WA","AUBURN        WA ",-2.15
02/08/2025,24013395038001368184605,"82173 - SEA27 DAWSON SEA2SEATTLE WA","SEATTLE       WA ",-3.75
02/08/2025,24692165038101577901479,"TST*DONT YELL AT ME - U Seattle WA","Seattle       WA ",-7.56
02/07/2025,24943005038145338165135,"COSTCO WHSE #0008 KIRKLAND WA","KIRKLAND      WA ",-161.82
02/07/2025,24011345038000004544047,"SP NATIONALNORDICMUSEU 120-67895707 WA","120-67895707  WA ",-61.80
02/07/2025,24492165038500011549335,"NATIONAL NORDIC MUSEUM 120-67895707 WA","120-67895707  WA ",-5.00
02/07/2025,24000775038000000009806,"PREMIUM PARKING HTTPSWWW.PREMLA","HTTPSWWW.PREM LA ",-6.99
02/06/2025,24137465037001665628687,"WHOLEFDS RMD 10260 REDMOND WA","REDMOND       WA ",-26.87
02/06/2025,24427335036740278787472,"MCDONALD'S F5586 BELLEVUE WA","BELLEVUE      WA ",-36.88
02/06/2025,24013395036000909379585,"365 MARKET M 888 432 3299TROY MI","TROY          MI ",-3.56
02/06/2025,24692165036109920861912,"AMAZON MKTPL*1Z5072EP3 Amzn.com/billWA","Amzn.com/bill WA ",-127.70
02/06/2025,24198805036505173785718,"PAYPAL *CDOWRITINGS 4029357733 CA","4029357733    CA ",-132.50
02/05/2025,24036295035716403499274,"PUGET SOUND ENERGY INC 888-225-5773 WA","888-225-5773  WA ",-63.55
02/05/2025,24013395035000687933042,"365 MARKET M 888 432 3299TROY MI","TROY          MI ",-3.56
02/05/2025,24204295035001507100029,"Aveda Online 800-6444831 NY","800-6444831   NY ",-240.24
02/04/2025,24137465034500787627918,"TRADER JOE S #140 REDMOND WA","REDMOND       WA ",-29.09
02/03/2025,24692165034107956824012,"TST*KOBUTA & OOKAMI - RE Redmond WA","Redmond       WA ",-66.72
02/03/2025,24036295033744185412457,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",-1.99
02/03/2025,24036295033744197029216,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",-6.49
02/03/2025,24692165033107587527415,"AMAZON MKTPL*OG48S8833 Amzn.com/billWA","Amzn.com/bill WA ",-52.95
02/03/2025,24692165033107444937203,"Amazon.com*2L0V32NP3 Amzn.com/billWA","Amzn.com/bill WA ",-25.73
02/03/2025,24036295033742112979796,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",-43.92
02/03/2025,24692165033107328406762,"Amazon.com*AA5A31UG3 Amzn.com/billWA","Amzn.com/bill WA ",-8.78
02/03/2025,24692165033107322620038,"AMAZON MKTPL*Z77S51LA0 Amzn.com/billWA","Amzn.com/bill WA ",-17.19
02/03/2025,24492165033500019580352,"DIM SUM FACTORY 131-27305592 IL","131-27305592  IL ",-69.74
02/03/2025,24164075033091017492707,"TARGET 00003392 BELLEVUE WA","BELLEVUE      WA ",-86.77
02/03/2025,24013395032000231019291,"T&T SUPERMARKET US 001-BEBELLEVUE WA","BELLEVUE      WA ",-77.82
02/03/2025,24013395032000065095698,"82173 - SEA27 DAWSON SEA2SEATTLE WA","SEATTLE       WA ",-9.99
02/03/2025,24316055032230302893852,"SHELL OIL 57445959901 SEATTLE WA","SEATTLE       WA ",-12.47
02/03/2025,24013395032000103005311,"365 MARKET M 888 432 3299TROY MI","TROY          MI ",-3.82
02/01/2025,24801975032230076434504,"A MA CHICKEN RICE REDMOND WA","REDMOND       WA ",-43.06
02/01/2025,24000975031122611122472,"FAMILY PANCAKE HOUSE # 425-8830922 WA","425-8830922   WA ",-63.43
02/01/2025,24122545031229399134639,"ARCO#07112ARCO #07112 BELLEVUE WA","BELLEVUE      WA ",-49.27
01/30/2025,24445005030000875059962,"WALGREENS #3662 BELLEVUE WA","BELLEVUE      WA ",-107.91
01/30/2025,24692165029103881085685,"AMAZON MKTPL*ZC3IA2H40 Amzn.com/billWA","Amzn.com/bill WA ",-13.21
01/29/2025,24137465028500811509502,"TRADER JOE S #131 BELLEVUE WA","BELLEVUE      WA ",-41.10
01/28/2025,24137465028001561638591,"WHOLEFDS RMD 10260 REDMOND WA","REDMOND       WA ",-82.33
01/28/2025,24692165027102431755542,"AMAZON MKTPL*ZG7128D11 Amzn.com/billWA","Amzn.com/bill WA ",-164.18
01/27/2025,24692165027101949610520,"AMAZON MKTPL*ZG6SM4831 Amzn.com/billWA","Amzn.com/bill WA ",-47.04
01/27/2025,24692165026101362436446,"AMAZON MKTPL*ZG2CP3MP1 Amzn.com/billWA","Amzn.com/bill WA ",-68.28
01/27/2025,24137465025100390272219,"TST* 151 DAYS CHICKEN SOUREDMOND WA","REDMOND       WA ",-65.21
01/27/2025,24692165025100608971977,"TST*DONT YELL AT ME - K Kirkland WA","Kirkland      WA ",-7.22
01/27/2025,24137465025501157658807,"TRADER JOE S #140 REDMOND WA","REDMOND       WA ",-25.12
01/25/2025,02506005720004795361349,"Online payment from CHK 1586","",2317.24
01/25/2025,24445005024300513434884,"QFC #5820 REDMOND WA","REDMOND       WA ",-6.99
01/25/2025,24164075024091007254407,"TARGET 00003392 BELLEVUE WA","BELLEVUE      WA ",-67.46
01/24/2025,24013395023004845020480,"T&T SUPERMARKET US 001-BEBELLEVUE WA","BELLEVUE      WA ",-102.07
01/24/2025,24137465024001396933948,"TJ MAXX #1069 BELLEVUE WA","BELLEVUE      WA ",-62.78
01/23/2025,24427335022710015151973,"CHICK-FIL-A #03299 BELLEVUE WA","BELLEVUE      WA ",-49.71
01/22/2025,24240525022219774807511,"THE FLOWER LADY SEATTLE WA","SEATTLE       WA ",-36.42
01/21/2025,24493985020067854010866,"SEATTLE MUNI INT #950003 800-950-1292 WA","800-950-1292  WA ",-68.60
01/21/2025,24122545020218417895910,"ARCO#07112ARCO #07112 BELLEVUE WA","BELLEVUE      WA ",-48.91
01/21/2025,24137465020100290665103,"TST* BON REDMOND WA","REDMOND       WA ",-62.28
01/21/2025,24137465020500877954939,"TRADER JOE S #131 BELLEVUE WA","BELLEVUE      WA ",-59.53
01/20/2025,24765015020218036772215,"HMART - REDMOND REDMOND WA","REDMOND       WA ",-32.28
01/20/2025,24137465020001458562662,"WHOLEFDS BLV 10153 BELLEVUE WA","BELLEVUE      WA ",-28.67
01/20/2025,74692165019108298247023,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",31.89
01/20/2025,24036295018744858524421,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",-215.56
01/20/2025,24692165018107781548489,"DAISO - CROSSROAD BELL BELLEVUE WA","BELLEVUE      WA ",-32.39
01/20/2025,24137465018501220921041,"TRADER JOE S #140 REDMOND WA","REDMOND       WA ",-59.25
01/20/2025,24692165018107591857591,"SQ *MONGA CAFE - BELRED Bellevue WA","Bellevue      WA ",-65.07
01/18/2025,24801975018216096750969,"BOILING POINT- BELLEVUE BELLEVUE WA","BELLEVUE      WA ",-60.61
01/17/2025,24765015017215007247404,"HMART - REDMOND REDMOND WA","REDMOND       WA ",-95.42
01/17/2025,24765015017215007247271,"HMART - REDMOND REDMOND WA","REDMOND       WA ",-18.60
01/17/2025,24692165016106426542875,"Amazon.com*Z55WN3FA1 Amzn.com/billWA","Amzn.com/bill WA ",-7.70
01/17/2025,24692165016106193214302,"AMAZON MKTPL*ZG9II9M62 Amzn.com/billWA","Amzn.com/bill WA ",-31.89
01/16/2025,24011345015500037199708,"URBANOUTFITTERS.COM URBANOUTFITTEPA","URBANOUTFITTE PA ",-45.90
01/15/2025,24055225015212999184287,"LAZ PARKING M28128-WC SEATTLE WA","SEATTLE       WA ",-6.00
01/15/2025,24427335014740274717651,"MCDONALD'S F5586 BELLEVUE WA","BELLEVUE      WA ",-33.58
01/14/2025,24707805013017019670683,"MIRO TEA SEATTLE WA","SEATTLE       WA ",-14.51
01/14/2025,24707805013017019336731,"BALLARD PARKING SEATTLE WA","SEATTLE       WA ",-9.00
01/14/2025,24427335013710014808269,"METROPOLITAN MARKET KIRKLAND WA","KIRKLAND      WA ",-54.61
01/14/2025,24137465013100279204451,"TST* SITU TACOS SEATTLE WA","SEATTLE       WA ",-37.01
01/14/2025,24692165013103601819304,"AMAZON MKTPL*Z50057LV0 Amzn.com/billWA","Amzn.com/bill WA ",-174.08
01/14/2025,24692165013103569316269,"Amazon.com*Z547D8LA0 Amzn.com/billWA","Amzn.com/bill WA ",-164.19
01/14/2025,24137465013500866345866,"TRADER JOE S #131 BELLEVUE WA","BELLEVUE      WA ",-51.86
01/13/2025,24551945012030058271141,"SQUARE LOTUS BELLEVUE WA","BELLEVUE      WA ",-67.02
01/13/2025,24692165012103135208157,"SQ *STANDARD GOODS Seattle WA","Seattle       WA ",-43.00
01/13/2025,24692165012103120249539,"SQ *SWEET MICKEY'S Seattle WA","Seattle       WA ",-4.80
01/13/2025,24692165012102633473743,"Amazon.com*Z57E762G2 Amzn.com/billWA","Amzn.com/bill WA ",-121.15
